"SourceAgency","Reporting_Year","Environment","Category","ConfirmedLatitude","ConfirmedLongitude","Incident_Date","Casualty_At_Risk","Casualty_Lives_Assisted","Casualty_Lives_Rescued","Casualty_Lives_Saved","Casualty_Perished","Police_Event","date","year","flag"
"NZPolice","2012-2013","Marine","Cat 1",-38.6990014,176.0806632,2013-05-03,NA,0,0,0,0,"P013585446",2013-05-01,2013,"loc"
"NZPolice","2015-2016","Marine","Cat 1",-40.3047531,175.2244097,2016-01-24,NA,0,2,0,0,"P024006166",2016-01-01,2016,"loc"
"NZPolice","2011-2012","Land","Cat 1",-44.47634043,168.7394636,2012-01-06,NA,0,0,0,1,"P009757660",2012-01-01,2012,"loc"
"NZPolice","2014-2015","Marine","Cat 1",-41.278614,174.872706,2015-01-18,NA,1,0,0,0,"P019946162",2015-01-01,2015,"loc"
"NZPolice","2017-2018","Land","Cat 1",-38.203228,176.325897,2017-12-14,NA,0,0,0,0,"P031870460",2017-12-01,2018,"loc"
"NZPolice","2010-2011","Marine","Cat 1",-36.862867,174.887323,2010-08-07,NA,0,3,0,0,"P006287244",2010-08-01,2011,"loc"
"NZPolice","2013-2014","Land","Cat 1",-37.027365,174.9079306,2014-05-15,NA,1,0,0,0,"P017299403",2014-05-01,2014,"loc"
"NZPolice","2015-2016","Marine","Cat 1",-36.779603,175.028743,2016-03-21,NA,0,0,0,0,"P024634495",2016-03-01,2016,"loc"
"NZPolice","2017-2018","Land","Cat 1",-37.133933,175.548071,2018-01-25,NA,1,0,0,0,"P032339296",2018-01-01,2018,"loc"
"NZPolice","2017-2018","Marine","Cat 1",-41.233332,173.299185,2017-08-04,NA,0,0,0,0,"P030418020",2017-08-01,2018,"loc"
"NZPolice","2010-2011","Land","Cat 1",-37.23682379,175.5713976,2011-01-09,NA,1,0,0,0,"P007318487",2011-01-01,2011,"loc"
"NZPolice","2015-2016","Land","Cat 1",-43.4830123,172.7231009,2016-06-15,NA,0,0,0,0,"P025613452",2016-06-01,2016,"loc"
"NZPolice","2014-2015","Land","Cat 1",-38.0093348,175.1390988,2014-11-30,NA,0,0,0,0,"P019406521",2014-11-01,2015,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-43.5363753,172.4950482,2012-12-29,NA,0,0,0,0,"P012569870",2012-12-01,2013,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-35.7731207,174.3980074,2012-09-20,NA,0,1,0,0,"P011745364",2012-09-01,2013,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-36.873215,174.915695,2017-03-19,NA,0,4,0,0,"P028898292",2017-03-01,2017,"loc"
"NZPolice","2013-2014","Land","Cat 1",-37.0197439,174.9048849,2014-05-18,NA,0,0,0,0,"P017332116",2014-05-01,2014,"loc"
"NZPolice","2016-2017","Land","Cat 1",-41.2137467,174.8357134,2017-02-16,NA,0,0,0,1,"P028539989",2017-02-01,2017,"loc"
"NZPolice","2017-2018","Land","Cat 1",-36.924876,174.682697,2017-10-04,NA,1,0,0,0,"P031082574",2017-10-01,2018,"loc"
"NZPolice","2015-2016","Marine","Cat 1",-41.288966,174.793119,2016-06-14,NA,0,0,0,0,"P025592826",2016-06-01,2016,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-36.84747,174.815891,2017-02-25,NA,0,0,0,0,"P028650915",2017-02-01,2017,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-39.9040171,174.8856399,2016-12-30,NA,0,0,0,0,"P027977089",2016-12-01,2017,"loc"
"NZPolice","2015-2016","Land","Cat 1",-43.64012,172.623574,2016-03-13,NA,0,0,0,1,"P024582359",2016-03-01,2016,"loc"
"NZPolice","2014-2015","Land","Cat 1",-39.1301171,175.6411504,2015-05-19,NA,0,1,0,0,"P021256596",2015-05-01,2015,"loc"
"NZPolice","2011-2012","Marine","Cat 1",-38.183573,176.482259,2012-04-05,NA,0,0,0,0,"P010415727",2012-04-01,2012,"loc"
"NZPolice","2014-2015","Land","Cat 1",-43.073287,172.606693,2015-06-07,NA,0,0,0,1,"P021460024",2015-06-01,2015,"loc"
"NZPolice","2010-2011","Land","Cat 1",-36.59974846,174.8863553,2011-03-09,NA,0,1,0,0,"P007702893",2011-03-01,2011,"loc"
"NZPolice","2013-2014","Land","Cat 1",-43.6345932,170.31251,2013-09-23,NA,0,1,0,0,"P014928251",2013-09-01,2014,"loc"
"NZPolice","2010-2011","Land","Cat 1",-39.4435071,175.5913873,2010-10-17,NA,0,0,0,0,"P006755175",2010-10-01,2011,"loc"
"NZPolice","2015-2016","Marine","Cat 1",-41.285093,174.786757,2016-02-28,NA,1,0,0,0,"P024391279",2016-02-01,2016,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-36.45022,174.760654,2016-12-23,NA,0,0,0,0,"P027895205",2016-12-01,2017,"loc"
"NZPolice","2012-2013","Land","Cat 1",-37.80728463,175.2832494,2012-11-22,NA,1,0,0,0,"P012263246",2012-11-01,2013,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-37.6867804,176.1710833,2013-05-30,NA,0,3,0,0,"P013810942",2013-05-01,2013,"loc"
"NZPolice","2011-2012","Land","Cat 1",-42.90153515,171.6254114,2012-05-20,NA,0,0,0,0,"P010770579",2012-05-01,2012,"loc"
"NZPolice","2011-2012","Marine","Cat 1",-36.8750017,175.0416635,2011-11-12,NA,0,2,0,0,"P009355509",2011-11-01,2012,"loc"
"NZPolice","2010-2011","Land","Cat 1",-38.1712097615641,163.036747224645,2011-04-20,NA,0,0,0,0,"P007972644",2011-04-01,2011,"no_loc"
"NZPolice","2014-2015","Land","Cat 1",-44.5433128,169.4362928,2015-03-29,NA,0,0,0,0,"P020738229",2015-03-01,2015,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-36.837905,174.744716,2016-12-21,NA,0,0,0,0,"P027865855",2016-12-01,2017,"loc"
"NZPolice","2015-2016","Marine","Cat 1",-36.832352,174.428422,2015-08-04,NA,0,0,0,0,"P022078057",2015-08-01,2016,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-41.2880008,174.8205022,2013-06-02,NA,0,0,0,0,"P013839353",2013-06-01,2013,"loc"
"NZPolice","2012-2013","Land","Cat 1",-38.64744316,175.8542596,2013-01-20,NA,0,1,0,0,"P012749466",2013-01-01,2013,"loc"
"NZPolice","2013-2014","Land","Cat 2",-42.0478297,172.6055012,2014-05-18,1,1,0,0,0,"P017330035",2014-05-01,2014,"loc"
"NZPolice","2012-2013","Land","Cat 2",-39.904502,176.0755037,2013-06-28,0,1,0,0,0,"P014085741",2013-06-01,2013,"loc"
"NZPolice","2014-2015","Land","Cat 1",-37.0625814,175.0829054,2015-05-20,NA,1,0,0,0,"P021270135",2015-05-01,2015,"loc"
"NZPolice","2010-2011","Land","Cat 1",-37.68077622,176.1685375,2010-10-04,NA,0,1,0,0,"P006669394",2010-10-01,2011,"loc"
"NZPolice","2012-2013","Land","Cat 1",-38.1712097615641,163.036747224645,2013-02-06,NA,0,0,0,0,"P012888249",2013-02-01,2013,"no_loc"
"NZPolice","2011-2012","Land","Cat 1",-40.70343914,175.3531932,2012-03-28,NA,1,0,0,0,"P010351498",2012-03-01,2012,"loc"
"NZPolice","2011-2012","Land","Cat 1",-39.06576628,175.6671666,2011-11-08,NA,0,0,0,0,"P009326688",2011-11-01,2012,"loc"
"NZPolice","2013-2014","Land","Cat 1",-36.8796923,174.8608967,2013-10-29,NA,0,0,0,0,"P015306645",2013-10-01,2014,"loc"
"NZPolice","2012-2013","Land","Cat 1",-37.48218219,175.7853593,2013-06-07,NA,0,1,0,0,"P013882503",2013-06-01,2013,"loc"
"NZPolice","2015-2016","Land","Cat 1",-41.5810832,173.2361364,2016-02-17,NA,0,1,0,0,"P024270247",2016-02-01,2016,"loc"
"NZPolice","2017-2018","Land","Cat 1",-39.340141,179.626538,2017-12-08,NA,3,0,0,0,"P031805041",2017-12-01,2018,"loc"
"NZPolice","2010-2011","Marine","Cat 1",-43.64760169,172.8193525,2011-01-01,NA,0,0,0,0,"P007271697",2011-01-01,2011,"loc"
"NZPolice","2017-2018","Marine","Cat 1",-40.876357,174.977026,2017-09-18,NA,0,0,0,0,"P030911687",2017-09-01,2018,"loc"
"NZPolice","2012-2013","Land","Cat 1",-43.05465353,171.6007649,2012-12-30,NA,0,0,0,0,"P012581880",2012-12-01,2013,"loc"
"NZPolice","2016-2017","Land","Cat 1",-43.749914,170.103671,2017-03-04,NA,1,0,0,0,"P028733671",2017-03-01,2017,"loc"
"NZPolice","2011-2012","Land","Cat 1",-45.34748629,169.167829,2012-01-23,NA,0,2,0,0,"P009870506",2012-01-01,2012,"loc"
"NZPolice","2014-2015","Land","Cat 1",-37.3711816,175.6719301,2015-03-01,NA,1,0,0,0,"P020402811",2015-03-01,2015,"loc"
"NZPolice","2011-2012","Marine","Cat 1",-41.2690376,174.8052553,2011-11-06,NA,2,0,0,0,"P009312438",2011-11-01,2012,"loc"
"NZPolice","2016-2017","Land","Cat 1",-38.102834,176.277706,2017-03-08,NA,0,0,1,0,"P028776249",2017-03-01,2017,"loc"
"NZPolice","2017-2018","Land","Cat 1",-36.897134,174.81019,2018-01-14,NA,0,0,0,0,"P032217796",2018-01-01,2018,"loc"
"NZPolice","2015-2016","Marine","Cat 1",-36.9467501,175.464014,2016-05-20,NA,0,0,0,0,"P025305713",2016-05-01,2016,"loc"
"NZPolice","2011-2012","Land","Cat 1",-39.1786652,175.736829,2012-01-26,1,1,0,0,0,"P009889889",2012-01-01,2012,"loc"
"NZPolice","2010-2011","Marine","Cat 1",-41.87066667,172.638,2011-02-03,1,0,0,0,1,"P007481729",2011-02-01,2011,"loc"
"NZPolice","2011-2012","Land","Cat 1",-38.23241214,178.0869809,2011-08-26,NA,1,0,0,0,"P008806974",2011-08-01,2012,"loc"
"NZPolice","2014-2015","Land","Cat 1",-44.3880041,171.2297568,2015-05-30,NA,1,0,0,0,"P021374663",2015-05-01,2015,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-41.2793368,174.8278314,2013-02-05,NA,1,0,0,0,"P012880386",2013-02-01,2013,"loc"
"NZPolice","2017-2018","Marine","Cat 1",-38.806765,175.932562,2017-08-02,NA,1,0,0,0,"P030399053",2017-08-01,2018,"loc"
"NZPolice","2017-2018","Land","Cat 1",-37.1266,175.566513,2018-06-15,NA,1,0,0,0,"P033854857",2018-06-01,2018,"loc"
"NZPolice","2010-2011","Land","Cat 1",-43.58287358,171.40697,2011-05-21,NA,0,0,0,0,"8171883",2011-05-01,2011,"loc"
"NZPolice","2016-2017","Land","Cat 1",-38.098574,176.289042,2016-07-06,NA,1,0,0,0,"P025850355",2016-07-01,2017,"loc"
"NZPolice","2017-2018","Land","Cat 1",-39.099955,176.786881,2018-05-11,NA,1,0,0,0,"P033473082",2018-05-01,2018,"loc"
"NZPolice","2013-2014","Land","Cat 1",-44.1530721,170.9091702,2014-03-14,NA,2,0,0,0,"P016664404",2014-03-01,2014,"loc"
"NZPolice","2016-2017","Land","Cat 1",-36.7025686,174.7307741,2017-01-15,NA,0,0,0,1,"P028167579",2017-01-01,2017,"loc"
"NZPolice","2017-2018","Land","Cat 1",-44.509614,168.864677,2017-11-09,NA,1,0,0,0,"P031481350",2017-11-01,2018,"loc"
"NZPolice","2012-2013","Land","Cat 1",-43.63643293,170.1647709,2013-02-18,NA,0,1,0,0,"P012990750",2013-02-01,2013,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-41.2891682,174.8900008,2013-01-19,NA,0,0,0,0,"P012741865",2013-01-01,2013,"loc"
"NZPolice","2014-2015","Land","Cat 1",-36.9103419,174.7752259,2014-07-31,NA,1,0,0,0,"P018099442",2014-07-01,2015,"loc"
"NZPolice","2011-2012","Land","Cat 1",-42.3928899,173.0182246,2012-06-13,NA,4,0,0,0,"P010966483",2012-06-01,2012,"loc"
"NZPolice","2013-2014","Land","Cat 1",-43.6163375,172.7192924,2013-08-10,NA,1,0,0,0,"P014493180",2013-08-01,2014,"loc"
"NZPolice","2015-2016","Land","Cat 1",-36.969953,174.468705,2015-08-15,NA,0,0,0,1,"P022199739",2015-08-01,2016,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-36.8841,174.435915,2016-10-15,NA,0,0,0,0,"P027056034",2016-10-01,2017,"loc"
"NZPolice","2016-2017","Land","Cat 1",-36.8038004,175.5619133,2017-01-22,NA,0,1,0,0,"P028247118",2017-01-01,2017,"loc"
"NZPolice","2017-2018","Marine","Cat 1",-36.598632,174.895731,2018-01-28,NA,0,3,0,0,"P032367710",2018-01-01,2018,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-38.728964,175.99858,2017-06-23,NA,1,0,0,0,"P029000000",2017-06-01,2017,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-37.8055376,174.8348009,2013-03-04,NA,1,0,0,0,"P013099956",2013-03-01,2013,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-45.2768193,167.752992,2012-12-20,NA,0,0,0,1,"P012503066",2012-12-01,2013,"loc"
"NZPolice","2016-2017","Land","Cat 1",-43.483923,172.103085,2017-03-22,NA,0,0,0,1,"P028929028",2017-03-01,2017,"loc"
"NZPolice","2015-2016","Land","Cat 1",-45.0246716,168.6271437,2016-01-31,NA,0,0,0,1,"P024084256",2016-01-01,2016,"loc"
"NZPolice","2011-2012","Land","Cat 1",-45.70054779,170.4567868,2011-12-11,NA,0,1,0,0,"P009562771",2011-12-01,2012,"loc"
"NZPolice","2016-2017","Land","Cat 1",-41.1203913,174.1864327,2017-04-14,NA,1,0,0,0,"P029189304",2017-04-01,2017,"loc"
"NZPolice","2010-2011","Marine","Cat 1",-38.74533673,175.8931631,2010-12-27,NA,3,0,0,0,"P007232109",2010-12-01,2011,"loc"
"NZPolice","2014-2015","Land","Cat 1",-37.7165975,176.1869748,2015-01-09,NA,1,0,0,0,"P019847673",2015-01-01,2015,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-35.1969034,174.0373134,2016-07-20,NA,1,0,0,0,"P026008864",2016-07-01,2017,"loc"
"NZPolice","2011-2012","Land","Cat 1",-43.68645349,169.5011314,2011-08-01,NA,0,0,0,0,"P008651740",2011-08-01,2012,"loc"
"NZPolice","2016-2017","Land","Cat 1",-36.8856709,174.6645001,2017-05-29,NA,0,0,0,1,"P026979742",2017-05-01,2017,"loc"
"NZPolice","2015-2016","Land","Cat 1",-39.1340168,175.6542868,2016-02-24,NA,0,1,0,0,"P024348842",2016-02-01,2016,"loc"
"NZPolice","2011-2012","Marine","Cat 1",-37.9865537,177.1548674,2012-04-06,NA,0,0,0,0,"P010425138",2012-04-01,2012,"loc"
"NZPolice","2016-2017","Land","Cat 1",-43.4677074,172.6824599,2017-06-03,NA,1,0,0,0,"P029746692",2017-06-01,2017,"loc"
"NZPolice","2015-2016","Marine","Cat 2",-39.277154,173.750086,2016-04-27,NA,1,0,0,0,"P025049702",2016-04-01,2016,"loc"
"NZPolice","2013-2014","Land","Cat 1",-42.4520487,171.2220618,2013-11-18,NA,0,0,1,0,"P015495153",2013-11-01,2014,"loc"
"NZPolice","2017-2018","Land","Cat 1",-45.893772,170.35505,2018-01-01,NA,0,0,0,0,"P032073970",2018-01-01,2018,"loc"
"NZPolice","2011-2012","Marine","Cat 1",-35.4550747,173.4571217,2012-05-12,NA,0,0,0,0,"P010712210",2012-05-01,2012,"loc"
"NZPolice","2016-2017","Land","Cat 1",-39.6780669,175.7959357,2016-07-17,NA,1,0,0,0,"P025980259",2016-07-01,2017,"loc"
"NZPolice","2013-2014","Land","Cat 1",-41.1011008,175.0919088,2013-10-02,NA,0,1,0,0,"P015022858",2013-10-01,2014,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-37.611837,176.024194,2017-01-19,NA,0,0,2,0,"P028215329",2017-01-01,2017,"loc"
"NZPolice","2018-2019","Marine","Cat 1",-41.3575,174.083889,2019-02-15,NA,0,0,6,0,"P036647100",2019-02-01,2019,"loc"
